segment,student_count,dropout_count,dropout_rate
Biofuel Production Technologies,12,8,0.6666666666666666
Equinculture,141,78,0.5531914893617021
Informatics Engineering,170,92,0.5411764705882353
Management (evening),268,136,0.5074626865671642
Basic Education,192,85,0.4427083333333333
Agronomy,210,86,0.4095238095238095
Oral Hygiene,86,33,0.38372093023255816
Animation and Multimedia Design,215,82,0.3813953488372093
Tourism,252,96,0.38095238095238093
Advertising and Marketing Management,268,95,0.35447761194029853
Management,380,134,0.3526315789473684
Social Service (evening),215,71,0.3302325581395349
Journalism and Communication,331,101,0.30513595166163143
Veterinary Nursing,337,90,0.26706231454005935
Communication Design,226,51,0.22566371681415928
Social Service,355,65,0.18309859154929578
Nursing,766,118,0.15404699738903394
