factor,segment,student_count,dropout_count,dropout_rate,segment_order
Course,Advertising and Marketing Management,268,95,0.35447761194029853,999
Course,Agronomy,210,86,0.4095238095238095,999
Course,Animation and Multimedia Design,215,82,0.3813953488372093,999
Course,Basic Education,192,85,0.4427083333333333,999
Course,Biofuel Production Technologies,12,8,0.6666666666666666,999
Course,Communication Design,226,51,0.22566371681415928,999
Course,Equinculture,141,78,0.5531914893617021,999
Course,Informatics Engineering,170,92,0.5411764705882353,999
Course,Journalism and Communication,331,101,0.30513595166163143,999
Course,Management,380,134,0.3526315789473684,999
Course,Management (evening),268,136,0.5074626865671642,999
Course,Nursing,766,118,0.15404699738903394,999
Course,Oral Hygiene,86,33,0.38372093023255816,999
Course,Social Service,355,65,0.18309859154929578,999
Course,Social Service (evening),215,71,0.3302325581395349,999
Course,Tourism,252,96,0.38095238095238093,999
Course,Veterinary Nursing,337,90,0.26706231454005935,999
Tuition Fee,Not up to date,528,457,0.865530303030303,1
Tuition Fee,Up to date,3896,964,0.24743326488706366,2
First-semester Approval,0%,538,493,0.9163568773234201,2
First-semester Approval,1-<50%,310,226,0.7290322580645161,999
First-semester Approval,50-<80%,635,305,0.48031496062992124,4
First-semester Approval,80-100%,2761,320,0.11590003621876131,999
First-semester Approval,No units enrolled,180,77,0.42777777777777776,1
Age,17-20,2551,542,0.2124656997255978,1
Age,21-24,735,248,0.33741496598639453,2
Age,25-34,697,394,0.5652797704447633,3
Age,35+,441,237,0.5374149659863946,4
Scholarship,No scholarship,3325,1287,0.38706766917293234,1
Scholarship,Scholarship,1099,134,0.12192902638762511,2
Debtor,Debtor,503,312,0.6202783300198808,2
Debtor,Not debtor,3921,1109,0.28283601122162716,1
Attendance,Daytime,3941,1214,0.30804364374524235,2
Attendance,Evening,483,207,0.42857142857142855,1
