factor,column,corrected_cramers_v,p_value,group_count,minimum_group_size,fdr_q_value,significant_fdr_5pct
First-semester approval band,FirstSemApprovalBand,0.6242086149102493,0.0,5,180,0.0,True
First-semester grade band,FirstSemGradeBand,0.4795904392828147,8.546306271682225e-220,5,55,6.409729703761669e-219,True
Tuition fee status,Tuition_fees_up_to_dateLabel,0.4281871408354234,1.3737821369755278e-178,2,528,6.86891068487764e-178,True
Age group,AgeGroup,0.30860116084735595,1.2524680617904636e-91,4,441,4.6967552317142386e-91,True
Application mode,ApplicationModeLabel,0.29392544212174765,2.8369904449819405e-74,18,1,8.510971334945821e-74,True
Course,CourseLabel,0.25261979768616727,5.832502227809918e-54,17,12,1.2498219059592684e-53,True
Scholarship status,Scholarship_holderLabel,0.24435914186586674,1.324567089306277e-59,2,1099,3.3114177232656927e-59,True
Debtor status,DebtorLabel,0.22817567724952423,3.134874263127432e-52,2,503,5.877889243363935e-52,True
Previous qualification,PreviousQualificationLabel,0.20540635285301695,2.3440454961507005e-34,17,1,3.5160682442260508e-34,True
Gender (audit context),GenderLabel,0.20294232811487256,9.87658631679028e-42,2,1556,1.6460977194650467e-41,True
Marital status (audit context),MaritalStatusLabel,0.11094749255812024,1.582435922288625e-11,6,4,1.9780449028607815e-11,True
Displaced,DisplacedLabel,0.10569365405052489,1.2474332333038966e-12,2,1998,1.7010453181416772e-12,True
Attendance schedule,Daytime_evening_attendanceLabel,0.07830067098387078,1.1416199101077951e-07,2,483,1.3172537424320712e-07,True
Application choice,ApplicationChoiceGroup,0.06468337533287936,8.263138240050639e-05,4,1,8.853362400054256e-05,True
International (audit context),InternationalLabel,0.0,0.5581022527918915,2,110,0.5581022527918915,False
