category,segment,student_count,dropout_count,dropout_rate,reference_dropout_rate,descriptive_risk_ratio,wilson_95pct_lower,wilson_95pct_upper
Administration,Tuition fees not up to date,528,457,0.865530303030303,0.24743326488706366,3.4980353325789006,0.8337753599234079,0.8920046467552722
Academic progress,First-semester approval below 50%,848,719,0.847877358490566,0.19630872483221476,4.319101757781003,0.8221396100592708,0.870477421088304
Academic progress,No first-semester approved units,718,570,0.7938718662952646,0.22962763086886132,3.4572140264280264,0.7627558208301926,0.8218599729949347
Financial,Debtor,503,312,0.6202783300198808,0.28283601122162716,2.193067026156855,0.5771049773389988,0.6616283862996607
Course,Equinculture,141,78,0.5531914893617021,0.31356525799673124,1.7641989195354955,0.4708014456158264,0.6327599621565264
Course,Informatics Engineering,170,92,0.5411764705882353,0.3124118476727786,1.7322533528083919,0.46618597862233596,0.6143471043681565
Context only,Age at enrollment 35+,441,237,0.5374149659863946,0.29726336931960834,1.8078748391248392,0.4907562750034492,0.5834274344337979
Course,Management (evening),268,136,0.5074626865671642,0.3091915303176131,1.6412567512631395,0.4479252151854046,0.5667892361715622
Schedule,Evening attendance,483,207,0.42857142857142855,0.30804364374524235,1.3912685337726522,0.3851717389003753,0.47309838427726586
Financial,No scholarship,3325,1287,0.38706766917293234,0.12192902638762511,3.1745326001571095,0.3706508665888557,0.4037451275011005
